2020-10-08 21:55:27,681 SSD INFO: Using 2 GPUs
2020-10-08 21:55:27,681 SSD INFO: Namespace(config_file='configs/vgg_ssd300_voc0712.yaml', distributed=True, eval_step=2500, local_rank=0, log_step=10, num_gpus=2, opts=['SOLVER.WARMUP_FACTOR', '0.03333', 'SOLVER.WARMUP_ITERS', '1000'], save_step=2500, skip_test=False, use_tensorboard=True)
2020-10-08 21:55:27,681 SSD INFO: Loaded configuration file configs/vgg_ssd300_voc0712.yaml
2020-10-08 21:55:27,681 SSD INFO: 
MODEL:
  NUM_CLASSES: 7 #NUM_CLASSES: 21 **modify-ganyongdong-2020.10.5
INPUT:
  IMAGE_SIZE: 300
DATASETS:
  TRAIN: ("voc_2007_trainval", ) ## TRAIN: ("voc_2007_trainval", "voc_2012_trainval") **modify-ganyongdong-2020.10.5
  TEST: ("voc_2007_test", )
SOLVER:
  MAX_ITER: 60000
  LR_STEPS: [30000, 50000]
  GAMMA: 0.1
  BATCH_SIZE: 32
  LR: 5e-4

OUTPUT_DIR: 'outputs/vgg_ssd300_voc0712'

2020-10-08 21:55:27,682 SSD INFO: Running with config:
DATASETS:
  TEST: ('voc_2007_test',)
  TRAIN: ('voc_2007_trainval',)
DATA_LOADER:
  NUM_WORKERS: 8
  PIN_MEMORY: True
INPUT:
  IMAGE_SIZE: 300
  PIXEL_MEAN: [123, 117, 104]
MODEL:
  BACKBONE:
    NAME: vgg
    OUT_CHANNELS: (512, 1024, 512, 256, 256, 256)
    PRETRAINED: True
  BOX_HEAD:
    NAME: SSDBoxHead
    PREDICTOR: SSDBoxPredictor
  CENTER_VARIANCE: 0.1
  DEVICE: cuda
  META_ARCHITECTURE: SSDDetector
  NEG_POS_RATIO: 3
  NUM_CLASSES: 7
  PRIORS:
    ASPECT_RATIOS: [[2], [2, 3], [2, 3], [2, 3], [2], [2]]
    BOXES_PER_LOCATION: [4, 6, 6, 6, 4, 4]
    CLIP: True
    FEATURE_MAPS: [38, 19, 10, 5, 3, 1]
    MAX_SIZES: [60, 111, 162, 213, 264, 315]
    MIN_SIZES: [30, 60, 111, 162, 213, 264]
    STRIDES: [8, 16, 32, 64, 100, 300]
  SIZE_VARIANCE: 0.2
  THRESHOLD: 0.5
OUTPUT_DIR: outputs/vgg_ssd300_voc0712
SOLVER:
  BATCH_SIZE: 32
  GAMMA: 0.1
  LR: 0.0005
  LR_STEPS: [30000, 50000]
  MAX_ITER: 60000
  MOMENTUM: 0.9
  WARMUP_FACTOR: 0.03333
  WARMUP_ITERS: 1000
  WEIGHT_DECAY: 0.0005
TEST:
  BATCH_SIZE: 10
  CONFIDENCE_THRESHOLD: 0.01
  MAX_PER_CLASS: -1
  MAX_PER_IMAGE: 100
  NMS_THRESHOLD: 0.45
2020-10-08 21:55:27,970 SSD.trainer INFO: No checkpoint found.
2020-10-08 21:55:27,978 SSD.trainer INFO: Start training ...
2020-10-08 21:55:41,393 SSD.trainer INFO: iter: 000010, lr: 0.00004, total_loss: 22.065 (22.065), cls_loss: 18.336 (18.336), reg_loss: 3.729 (3.729), time: 1.331 (1.331), eta: 11:05:28
2020-10-08 21:55:47,699 SSD.trainer INFO: iter: 000020, lr: 0.00005, total_loss: 17.834 (19.950), cls_loss: 14.256 (16.296), reg_loss: 3.578 (3.654), time: 0.631 (0.981), eta: 8:10:09
2020-10-08 21:55:54,055 SSD.trainer INFO: iter: 000030, lr: 0.00006, total_loss: 13.466 (17.789), cls_loss: 10.109 (14.233), reg_loss: 3.358 (3.555), time: 0.636 (0.866), eta: 7:12:29
2020-10-08 21:56:01,510 SSD.trainer INFO: iter: 000040, lr: 0.00007, total_loss: 12.500 (16.466), cls_loss: 9.244 (12.986), reg_loss: 3.256 (3.480), time: 0.746 (0.836), eta: 6:57:19
2020-10-08 21:56:07,929 SSD.trainer INFO: iter: 000050, lr: 0.00008, total_loss: 12.095 (15.592), cls_loss: 8.904 (12.170), reg_loss: 3.191 (3.422), time: 0.642 (0.797), eta: 6:37:49
2020-10-08 21:56:14,359 SSD.trainer INFO: iter: 000060, lr: 0.00009, total_loss: 11.624 (14.931), cls_loss: 8.544 (11.565), reg_loss: 3.080 (3.365), time: 0.643 (0.771), eta: 6:24:53
2020-10-08 21:56:20,304 SSD.trainer INFO: iter: 000070, lr: 0.00010, total_loss: 11.180 (14.395), cls_loss: 8.184 (11.082), reg_loss: 2.995 (3.312), time: 0.594 (0.746), eta: 6:12:09
2020-10-08 21:56:26,751 SSD.trainer INFO: iter: 000080, lr: 0.00011, total_loss: 10.564 (13.916), cls_loss: 7.728 (10.663), reg_loss: 2.836 (3.253), time: 0.645 (0.733), eta: 6:05:43
2020-10-08 21:56:33,338 SSD.trainer INFO: iter: 000090, lr: 0.00012, total_loss: 9.972 (13.478), cls_loss: 7.266 (10.286), reg_loss: 2.706 (3.192), time: 0.659 (0.725), eta: 6:01:27
2020-10-08 21:56:39,588 SSD.trainer INFO: iter: 000100, lr: 0.00013, total_loss: 9.464 (13.076), cls_loss: 6.756 (9.933), reg_loss: 2.708 (3.144), time: 0.625 (0.715), eta: 5:56:20
2020-10-08 21:56:46,101 SSD.trainer INFO: iter: 000110, lr: 0.00014, total_loss: 8.728 (12.681), cls_loss: 6.065 (9.581), reg_loss: 2.663 (3.100), time: 0.651 (0.709), eta: 5:53:20
2020-10-08 21:56:52,384 SSD.trainer INFO: iter: 000120, lr: 0.00015, total_loss: 8.266 (12.313), cls_loss: 5.622 (9.251), reg_loss: 2.643 (3.062), time: 0.628 (0.703), eta: 5:49:51
2020-10-08 21:56:58,261 SSD.trainer INFO: iter: 000130, lr: 0.00016, total_loss: 8.147 (11.993), cls_loss: 5.540 (8.966), reg_loss: 2.607 (3.027), time: 0.588 (0.694), eta: 5:45:20
2020-10-08 21:57:04,490 SSD.trainer INFO: iter: 000140, lr: 0.00017, total_loss: 7.768 (11.691), cls_loss: 5.177 (8.695), reg_loss: 2.591 (2.996), time: 0.623 (0.689), eta: 5:42:43
2020-10-08 21:57:10,705 SSD.trainer INFO: iter: 000150, lr: 0.00018, total_loss: 7.571 (11.416), cls_loss: 4.932 (8.444), reg_loss: 2.640 (2.972), time: 0.621 (0.684), eta: 5:40:22
2020-10-08 21:57:16,806 SSD.trainer INFO: iter: 000160, lr: 0.00019, total_loss: 7.342 (11.162), cls_loss: 4.759 (8.214), reg_loss: 2.583 (2.948), time: 0.610 (0.680), eta: 5:37:57
2020-10-08 21:57:22,723 SSD.trainer INFO: iter: 000170, lr: 0.00020, total_loss: 7.157 (10.926), cls_loss: 4.647 (8.004), reg_loss: 2.510 (2.922), time: 0.592 (0.674), eta: 5:35:16
2020-10-08 21:57:28,946 SSD.trainer INFO: iter: 000180, lr: 0.00021, total_loss: 7.183 (10.718), cls_loss: 4.634 (7.817), reg_loss: 2.549 (2.901), time: 0.622 (0.671), eta: 5:33:43
2020-10-08 21:57:35,191 SSD.trainer INFO: iter: 000190, lr: 0.00022, total_loss: 6.965 (10.521), cls_loss: 4.513 (7.643), reg_loss: 2.452 (2.878), time: 0.625 (0.669), eta: 5:32:23
2020-10-08 21:57:41,016 SSD.trainer INFO: iter: 000200, lr: 0.00023, total_loss: 6.935 (10.341), cls_loss: 4.466 (7.484), reg_loss: 2.470 (2.857), time: 0.582 (0.665), eta: 5:30:07
2020-10-08 21:57:47,263 SSD.trainer INFO: iter: 000210, lr: 0.00024, total_loss: 6.897 (10.177), cls_loss: 4.401 (7.337), reg_loss: 2.496 (2.840), time: 0.625 (0.663), eta: 5:29:04
2020-10-08 21:57:53,494 SSD.trainer INFO: iter: 000220, lr: 0.00025, total_loss: 6.812 (10.024), cls_loss: 4.360 (7.202), reg_loss: 2.453 (2.822), time: 0.623 (0.661), eta: 5:28:03
2020-10-08 21:57:59,309 SSD.trainer INFO: iter: 000230, lr: 0.00026, total_loss: 6.873 (9.887), cls_loss: 4.392 (7.080), reg_loss: 2.481 (2.808), time: 0.581 (0.658), eta: 5:26:14
2020-10-08 21:58:05,548 SSD.trainer INFO: iter: 000240, lr: 0.00027, total_loss: 6.834 (9.760), cls_loss: 4.329 (6.965), reg_loss: 2.505 (2.795), time: 0.624 (0.656), eta: 5:25:26
2020-10-08 21:58:11,784 SSD.trainer INFO: iter: 000250, lr: 0.00027, total_loss: 6.763 (9.640), cls_loss: 4.305 (6.859), reg_loss: 2.458 (2.781), time: 0.624 (0.655), eta: 5:24:40
2020-10-08 21:58:17,602 SSD.trainer INFO: iter: 000260, lr: 0.00028, total_loss: 6.854 (9.533), cls_loss: 4.379 (6.763), reg_loss: 2.475 (2.770), time: 0.582 (0.652), eta: 5:23:10
